config,model,prompt,task,pre_audit_pass,post_audit_pass
gpt4omini-std,GPT-4o-mini,std,task018,True,True
gpt4omini-std,GPT-4o-mini,std,task019,True,True
gpt4omini-std,GPT-4o-mini,std,task02,True,True
gpt4omini-std,GPT-4o-mini,std,task020,True,True
gpt4omini-std,GPT-4o-mini,std,task021,True,True
gpt4omini-std,GPT-4o-mini,std,task022,True,True
gpt4omini-std,GPT-4o-mini,std,task023,True,False
gpt4omini-std,GPT-4o-mini,std,task024,True,True
gpt4omini-std,GPT-4o-mini,std,task025,True,True
gpt4omini-std,GPT-4o-mini,std,task026,True,True
gpt4omini-std,GPT-4o-mini,std,task027,True,True
gpt4omini-std,GPT-4o-mini,std,task028,True,True
gpt4omini-std,GPT-4o-mini,std,task029,True,True
gpt4omini-std,GPT-4o-mini,std,task03,True,True
gpt4omini-std,GPT-4o-mini,std,task030,True,False
gpt4omini-std,GPT-4o-mini,std,task031,True,True
gpt4omini-std,GPT-4o-mini,std,task032,True,True
gpt4omini-std,GPT-4o-mini,std,task033,True,True
gpt4omini-std,GPT-4o-mini,std,task034,True,True
gpt4omini-std,GPT-4o-mini,std,task035,True,True
gpt4omini-std,GPT-4o-mini,std,task036,True,True
gpt4omini-std,GPT-4o-mini,std,task037,True,True
gpt4omini-std,GPT-4o-mini,std,task038,True,True
gpt4omini-std,GPT-4o-mini,std,task039,True,False
gpt4omini-std,GPT-4o-mini,std,task04,True,True
gpt4omini-std,GPT-4o-mini,std,task040,True,True
gpt4omini-std,GPT-4o-mini,std,task041,True,False
gpt4omini-std,GPT-4o-mini,std,task042,True,True
gpt4omini-std,GPT-4o-mini,std,task043,True,True
gpt4omini-std,GPT-4o-mini,std,task044,True,False
gpt4omini-std,GPT-4o-mini,std,task045,True,True
gpt4omini-std,GPT-4o-mini,std,task046,True,True
gpt4omini-std,GPT-4o-mini,std,task047,False,False
gpt4omini-std,GPT-4o-mini,std,task048,True,True
gpt4omini-std,GPT-4o-mini,std,task049,True,False
gpt4omini-std,GPT-4o-mini,std,task05,True,True
gpt4omini-std,GPT-4o-mini,std,task050,True,True
gpt4omini-std,GPT-4o-mini,std,task051,True,True
gpt4omini-std,GPT-4o-mini,std,task052,True,True
gpt4omini-std,GPT-4o-mini,std,task053,True,True
gpt4omini-std,GPT-4o-mini,std,task054,True,True
gpt4omini-std,GPT-4o-mini,std,task055,True,True
gpt4omini-std,GPT-4o-mini,std,task056,True,True
gpt4omini-std,GPT-4o-mini,std,task057,True,True
gpt4omini-std,GPT-4o-mini,std,task058,True,True
gpt4omini-std,GPT-4o-mini,std,task059,False,False
gpt4omini-std,GPT-4o-mini,std,task06,True,True
gpt4omini-std,GPT-4o-mini,std,task060,True,True
gpt4omini-std,GPT-4o-mini,std,task061,False,False
gpt4omini-std,GPT-4o-mini,std,task062,True,True
gpt4omini-std,GPT-4o-mini,std,task063,False,True
gpt4omini-std,GPT-4o-mini,std,task064,True,True
gpt4omini-std,GPT-4o-mini,std,task065,True,True
gpt4omini-std,GPT-4o-mini,std,task066,True,True
gpt4omini-std,GPT-4o-mini,std,task067,True,True
gpt4omini-std,GPT-4o-mini,std,task068,True,True
gpt4omini-std,GPT-4o-mini,std,task069,True,True
gpt4omini-std,GPT-4o-mini,std,task07,True,True
gpt4omini-std,GPT-4o-mini,std,task070,False,False
gpt4omini-std,GPT-4o-mini,std,task071,False,False
gpt4omini-std,GPT-4o-mini,std,task072,True,True
gpt4omini-std,GPT-4o-mini,std,task073,True,True
gpt4omini-std,GPT-4o-mini,std,task074,False,False
gpt4omini-std,GPT-4o-mini,std,task075,True,True
gpt4omini-std,GPT-4o-mini,std,task077,True,True
gpt4omini-std,GPT-4o-mini,std,task078,True,True
gpt4omini-std,GPT-4o-mini,std,task079,True,True
gpt4omini-std,GPT-4o-mini,std,task08,False,False
gpt4omini-std,GPT-4o-mini,std,task080,False,False
gpt4omini-std,GPT-4o-mini,std,task081,True,True
gpt4omini-std,GPT-4o-mini,std,task082,True,False
gpt4omini-std,GPT-4o-mini,std,task083,False,False
gpt4omini-std,GPT-4o-mini,std,task084,True,True
gpt4omini-std,GPT-4o-mini,std,task085,True,True
gpt4omini-std,GPT-4o-mini,std,task086,True,False
gpt4omini-std,GPT-4o-mini,std,task087,True,True
gpt4omini-std,GPT-4o-mini,std,task088,True,True
gpt4omini-std,GPT-4o-mini,std,task089,True,True
gpt4omini-std,GPT-4o-mini,std,task09,True,True
gpt4omini-std,GPT-4o-mini,std,task090,True,True
