task,desc_max,desc_nearest,desc_raw_max,solution_max,solution_nearest
task018,0.3747,HumanEval/150,0.196,0.3162,mbpp/733
task019,0.0889,mbpp/966,0.0828,0.0948,mbpp/349
task02,0.4118,mbpp/604,0.0858,0.64,mbpp/604
task020,0.4019,HumanEval/75,0.0808,0.1403,HumanEval/14
task021,0.2973,mbpp/370,0.0712,0.1167,mbpp/653
task022,0.2553,mbpp/257,0.0658,0.1168,mbpp/332
task023,0.3721,HumanEval/55,0.3563,0.1367,mbpp/691
task024,0.1823,HumanEval/36,0.1,0.3732,mbpp/736
task025,0.3365,HumanEval/121,0.1451,0.4413,mbpp/157
task026,0.3404,mbpp/506,0.1113,0.153,HumanEval/34
task027,0.1368,mbpp/739,0.1284,0.1436,mbpp/70
task028,0.4244,HumanEval/85,0.4109,0.148,mbpp/317
task029,0.4368,mbpp/548,0.4192,0.254,mbpp/952
task03,0.3111,mbpp/909,0.068,0.5178,mbpp/593
task030,0.4819,mbpp/97,0.0734,0.1848,mbpp/862
task031,0.3636,HumanEval/85,0.1101,0.5356,mbpp/718
task032,0.1398,HumanEval/9,0.13,0.1867,HumanEval/5
task033,0.0836,mbpp/370,0.0785,0.1833,mbpp/130
task034,0.1051,mbpp/208,0.1016,0.1493,mbpp/752
task035,0.1075,HumanEval/85,0.0908,0.1255,mbpp/114
task036,0.3247,mbpp/305,0.0785,0.0866,HumanEval/14
task037,0.0656,HumanEval/53,0.0862,0.0753,mbpp/927
task038,0.3155,HumanEval/162,0.3096,0.137,mbpp/674
task039,0.4651,mbpp/157,0.066,0.1023,mbpp/510
task04,0.0604,mbpp/348,0.058,0.1003,mbpp/518
task040,0.3744,mbpp/958,0.3443,0.1628,HumanEval/14
task041,0.1221,mbpp/582,0.1135,0.1669,mbpp/685
task042,0.0843,mbpp/725,0.0739,0.1325,HumanEval/5
task043,0.3504,mbpp/763,0.3537,0.1634,mbpp/522
task044,0.3789,mbpp/965,0.0887,0.2264,mbpp/411
task045,0.0591,HumanEval/163,0.0568,0.0996,mbpp/226
task046,0.1103,HumanEval/101,0.1074,0.1188,mbpp/444
task047,0.3692,mbpp/662,0.0822,0.1126,mbpp/794
task048,0.0603,HumanEval/131,0.0963,0.0767,mbpp/237
task049,0.0735,HumanEval/27,0.0722,0.1011,mbpp/254
task05,0.4369,mbpp/278,0.3982,0.145,HumanEval/11
task050,0.1239,HumanEval/155,0.1186,0.5063,mbpp/475
task051,0.3768,mbpp/129,0.0656,0.11,HumanEval/28
task052,0.3429,mbpp/608,0.0813,0.184,mbpp/839
task053,0.3931,mbpp/649,0.4,0.1157,HumanEval/23
task054,0.3696,mbpp/589,0.0819,0.1476,mbpp/502
task055,0.381,mbpp/307,0.0684,0.0715,HumanEval/11
task056,0.0652,mbpp/663,0.0755,0.0678,mbpp/114
task057,0.3667,mbpp/765,0.0593,0.099,HumanEval/29
task058,0.0726,mbpp/902,0.0741,0.056,HumanEval/23
task059,0.0885,mbpp/774,0.0954,0.1139,HumanEval/14
task06,0.3849,mbpp/870,0.393,0.1076,mbpp/491
task060,0.2143,mbpp/257,0.0632,0.0568,HumanEval/11
task061,0.4286,mbpp/129,0.092,0.0668,HumanEval/23
task062,0.0833,HumanEval/23,0.0784,0.0964,HumanEval/14
task063,0.3451,mbpp/724,0.0982,0.0757,mbpp/217
task064,0.1063,HumanEval/85,0.0686,0.1061,HumanEval/28
task065,0.3007,HumanEval/93,0.1061,0.1207,mbpp/910
task066,0.0648,mbpp/553,0.0772,0.1594,mbpp/82
task067,0.0582,HumanEval/22,0.0566,0.1038,mbpp/217
task068,0.0736,HumanEval/104,0.1072,0.0911,mbpp/232
task069,0.0505,HumanEval/141,0.0498,0.0878,mbpp/326
task07,0.2456,mbpp/475,0.0571,0.2119,mbpp/451
task070,0.3059,mbpp/921,0.072,0.0446,HumanEval/38
task071,0.3294,mbpp/397,0.0595,0.126,mbpp/163
task072,0.2593,mbpp/475,0.0629,0.0676,mbpp/722
task073,0.0571,mbpp/721,0.0558,0.0608,mbpp/933
task074,0.0523,mbpp/676,0.0512,0.0711,mbpp/759
task075,0.0842,HumanEval/98,0.0592,0.0848,mbpp/927
task077,0.0599,mbpp/700,0.0586,0.0541,HumanEval/11
task078,0.0984,HumanEval/98,0.0749,0.0641,mbpp/114
task079,0.0722,mbpp/156,0.0701,0.1176,HumanEval/14
task08,0.3214,mbpp/583,0.0697,0.0436,HumanEval/10
task080,0.0695,HumanEval/35,0.0567,0.0862,HumanEval/14
task081,0.0735,HumanEval/64,0.0715,0.1048,mbpp/130
task082,0.089,HumanEval/91,0.087,0.104,HumanEval/28
task083,0.0732,mbpp/405,0.0825,0.1084,HumanEval/28
task084,0.1123,HumanEval/75,0.1077,0.0963,HumanEval/22
task085,0.1538,mbpp/456,0.1016,0.1549,mbpp/533
task086,0.2857,mbpp/17,0.0505,0.0467,HumanEval/1
task087,0.2807,mbpp/475,0.0769,0.1331,HumanEval/14
task088,0.3117,mbpp/277,0.0538,0.0836,mbpp/653
task089,0.0865,mbpp/277,0.105,0.1055,HumanEval/26
task09,0.402,mbpp/749,0.3689,0.161,mbpp/210
task090,0.0759,mbpp/381,0.08,0.431,mbpp/937
task091,0.0909,mbpp/449,0.095,0.1149,mbpp/446
task092,0.0606,mbpp/600,0.0722,0.0676,HumanEval/9
task093,0.0855,HumanEval/131,0.0413,0.1103,mbpp/653
task094,0.0721,HumanEval/114,0.0655,0.1004,HumanEval/21
task095,0.1458,HumanEval/135,0.1405,0.1027,HumanEval/0
task096,0.1186,HumanEval/47,0.1125,0.1818,mbpp/265
task097,0.1143,mbpp/717,0.1326,0.188,mbpp/198
task098,0.0956,HumanEval/135,0.0923,0.1222,mbpp/519
task099,0.1182,HumanEval/163,0.1148,0.1649,mbpp/519
task10,0.339,mbpp/918,0.0616,0.1069,mbpp/218
