model,prompt,n_common14,style_per100_lloc_mean,style_per100_lloc_lo,style_per100_lloc_hi,style_nonws_per100_lloc_mean,style_nonws_per100_lloc_lo,style_nonws_per100_lloc_hi,cc_mean_mean,cc_mean_lo,cc_mean_hi,cc_max_mean,cc_max_lo,cc_max_hi,lloc_mean,lloc_lo,lloc_hi,style_pooled_per100_lloc,style_pooled_lo,style_pooled_hi,flake8_total_sum,flake8_ws_sum,flake8_W293_sum,ws_share_pct,bandit_total_sum,bandit_high_sum,bandit_medium_sum,bandit_low_sum,semgrep_total_sum,semgrep_error_sum,semgrep_warning_sum,semgrep_info_sum,complexity_score_mean,complexity_score_lo,complexity_score_hi,lint_score_mean,lint_score_lo,lint_score_hi,security_score_mean,security_score_lo,security_score_hi
GPT-4o-mini,std,120,20.099363,17.294456,22.947853,4.264667,3.318988,5.249549,4.929017,4.433462,5.449325,5.208333,4.725,5.725,16.233333,14.733333,17.791667,18.583162,15.83917,21.471398,362,279,277,77.07,10,0,10,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
GPT-4o-mini,sec,120,21.658567,18.914418,24.54063,4.84304,3.979047,5.718862,6.5968,5.952348,7.275138,6.883333,6.274792,7.525,19.8,18.291667,21.383333,19.823232,17.079307,22.644634,471,356,356,75.58,12,0,10,2,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
GPT-4o,std,120,16.854225,14.048677,19.749941,4.643292,3.583986,5.781932,4.797236,4.307914,5.303691,5.025,4.558333,5.508333,16.45,14.991667,17.966875,15.248227,12.639129,18.066391,301,204,204,67.77,21,0,10,11,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
GPT-4o,sec,120,18.488983,15.726542,21.311524,5.495866,4.58194,6.457409,5.828987,5.251165,6.449304,6.075,5.5,6.666667,18.95,17.425,20.616667,16.44679,13.849447,19.197471,374,249,244,66.58,11,0,9,2,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
GPT-5.6-sol,std,120,0.125,0.0,0.375,0.125,0.0,0.375,5.450486,4.859359,6.082344,5.9,5.3,6.5,20.5,18.258333,22.816667,0.121951,0.0,0.396834,3,0,0,0.0,9,0,9,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
GPT-5.6-sol,sec,120,0.265782,0.089117,0.481684,0.265782,0.087963,0.48144,8.083122,7.186937,9.02509,9.05,8.175,9.975,32.3,29.1,35.858333,0.180599,0.055534,0.331585,7,0,0,0.0,9,0,9,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Claude Haiku 4.5,std,120,44.498216,41.705519,47.261955,0.569838,0.29012,0.888538,5.49506,4.945723,6.082778,5.791667,5.241667,6.366667,20.541667,18.541667,22.608333,41.866126,39.209014,44.606351,1032,1016,1004,98.45,12,0,10,2,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Claude Haiku 4.5,sec,120,45.175846,42.906773,47.460621,0.619846,0.387785,0.878381,7.814973,7.039602,8.639143,8.308333,7.566667,9.066667,28.0,25.575,30.508333,42.380952,39.893591,44.771268,1424,1399,1395,98.24,12,0,11,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Claude Sonnet 4.5,std,120,42.243651,39.416548,44.940586,0.522311,0.227587,0.860987,5.763032,5.091431,6.478618,6.016667,5.375,6.716667,20.641667,18.633333,22.800208,38.554703,35.755419,41.512017,955,942,936,98.64,11,0,9,2,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Claude Sonnet 4.5,sec,120,44.812263,42.920913,46.804371,1.396305,0.868701,2.002952,8.431871,7.645281,9.232972,8.783333,8.058333,9.583333,28.433333,26.058333,30.958542,42.614302,40.786202,44.49613,1454,1410,1399,96.97,11,1,9,1,1,0,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Claude Sonnet 5,std,120,0.23039,0.053763,0.46078,0.23039,0.053763,0.464936,5.19167,4.679584,5.721819,5.475,4.983333,5.975,18.033333,16.191667,20.058333,0.323475,0.084566,0.646453,7,0,0,0.0,8,0,8,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Claude Sonnet 5,sec,120,0.334001,0.105492,0.64657,0.334001,0.108554,0.645854,7.405236,6.710196,8.138341,8.725,8.041458,9.416667,35.858333,33.108125,38.791667,0.302115,0.115901,0.553255,13,0,0,0.0,9,0,8,1,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Gemini 2.5 Flash,std,120,5.087204,3.99209,6.249568,3.348243,2.572845,4.159335,5.76497,5.186942,6.396509,6.15,5.575,6.75,21.083333,19.299792,22.925,5.968379,4.69196,7.275477,151,54,54,35.76,8,0,8,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
Gemini 2.5 Flash,sec,120,5.634559,4.646273,6.677232,4.583322,3.786771,5.437812,9.173214,8.238873,10.139332,9.841667,8.9,10.791667,31.333333,28.233125,34.666875,6.06383,4.958818,7.25768,228,50,46,21.93,10,0,8,2,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
