config,config_name,prompt,task,correct,flake8_total,flake8_ws,flake8_nonws,flake8_W291,flake8_W293,flake8_W391,flake8_E303,flake8_codes,raw_loc,lloc,sloc,comments,blank,radon_raw_ok,bandit_loc,cc_mean,cc_max,cc_blocks,radon_cc_ok,style_per100_lloc,style_per100_sloc,style_nonws_per100_lloc,bandit_total,bandit_high,bandit_medium,bandit_low,bandit_undef,bandit_conf_high,bandit_conf_medium,bandit_conf_low,bandit_tests,semgrep_total,semgrep_error,semgrep_warning,semgrep_info,semgrep_rules,stored_lint_issues,stored_security_issues,stored_complexity_avg,stored_lint_score,stored_security_score,stored_complexity_score
gpt4omini-std,GPT-4o-mini,std,task018,1,3,3,0,0,3,0,0,W293:3,16,11,11,1,4,1,11,4.0,4,1,1,27.2727,27.2727,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task019,1,0,0,0,0,0,0,0,,29,23,23,1,5,1,23,2.3333,3,6,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task02,1,0,0,0,0,0,0,0,,7,3,3,3,1,1,3,1.0,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task020,1,0,0,0,0,0,0,0,,15,12,11,1,3,1,11,6.0,6,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task021,1,6,5,1,0,5,0,0,E302:1;W293:5,25,17,17,1,7,1,17,8.0,8,1,1,35.2941,35.2941,5.8824,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task022,1,4,4,0,0,4,0,0,W293:4,16,9,9,2,5,1,9,3.0,3,1,1,44.4444,44.4444,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task023,0,4,4,0,0,4,0,0,W293:4,21,15,15,1,5,1,15,6.0,6,1,1,26.6667,26.6667,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task024,1,4,4,0,0,4,0,0,W293:4,41,32,32,4,8,1,32,2.0,2,1,1,12.5,12.5,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task025,1,1,1,0,0,1,0,0,W293:1,7,7,6,2,1,1,6,2.0,2,1,1,14.2857,16.6667,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task026,1,3,2,1,0,2,0,0,E302:1;W293:2,11,6,6,2,3,1,6,2.0,2,1,1,50.0,50.0,16.6667,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task027,1,3,3,0,0,3,0,0,W293:3,17,12,12,1,4,1,12,6.0,6,1,1,25.0,25.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task028,1,0,0,0,0,0,0,0,,10,8,8,1,1,1,8,8.0,8,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task029,1,0,0,0,0,0,0,0,,16,10,10,3,3,1,10,5.0,5,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task03,1,1,0,1,0,0,0,0,E302:1,9,5,4,3,2,1,4,1.0,1,1,1,20.0,25.0,20.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task030,0,3,2,1,0,2,0,0,E302:1;W293:2,13,8,8,2,3,1,8,2.0,2,1,1,37.5,37.5,12.5,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task031,1,2,2,0,0,2,0,0,W293:2,14,10,10,1,3,1,10,1.0,1,1,1,20.0,20.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task032,1,5,4,1,0,4,0,0,E302:1;W293:4,28,15,15,7,8,1,15,9.0,9,1,1,33.3333,33.3333,6.6667,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task033,1,3,2,1,0,2,0,0,E302:1;W293:2,15,9,8,3,4,1,8,4.0,4,1,1,33.3333,37.5,11.1111,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task034,1,1,1,0,0,1,0,0,W293:1,22,15,15,3,5,1,15,9.0,9,1,1,6.6667,6.6667,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task035,1,4,4,0,0,4,0,0,W293:4,17,13,13,0,4,1,13,6.0,6,1,1,30.7692,30.7692,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task036,1,1,0,1,0,0,0,0,E302:1,34,28,28,1,5,1,28,2.2857,3,7,1,3.5714,3.5714,3.5714,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task037,1,1,0,1,0,0,0,0,E302:1,50,43,43,3,6,1,43,1.875,3,8,1,2.3256,2.3256,2.3256,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task038,1,0,0,0,0,0,0,0,,10,10,10,0,0,1,10,4.0,4,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task039,1,11,11,0,0,11,0,0,W293:11,46,33,33,0,13,1,33,7.5,9,2,1,33.3333,33.3333,0.0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
gpt4omini-std,GPT-4o-mini,std,task04,1,4,2,2,0,2,0,0,E302:1;F841:1;W293:2,28,21,21,0,7,1,21,5.0,5,1,1,19.0476,19.0476,9.5238,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,,
